NO,시군구,계약년월,거래금액(만원),기간,금값(1g)
247,서울특별시 송파구 잠실동,201906,175000,202003,59635
248,서울특별시 송파구 석촌동,201906,98800,202003,60479
249,서울특별시 송파구 가락동,201906,33000,202003,59445
250,서울특별시 송파구 문정동,201906,49000,202003,60421
251,서울특별시 송파구 가락동,201906,91000,202003,60909
252,서울특별시 송파구 잠실동,201906,180000,202003,60223
253,서울특별시 송파구 송파동,201906,94000,202003,60573
254,서울특별시 송파구 장지동,201906,88700,202003,60669
255,서울특별시 송파구 방이동,201906,220000,202003,63170
256,서울특별시 송파구 가락동,201906,94700,202003,63956
257,서울특별시 송파구 송파동,201906,65000,202003,63739
258,서울특별시 송파구 송파동,201906,90000,202003,63693
259,서울특별시 송파구 잠실동,201906,180500,202003,63640
260,서울특별시 송파구 가락동,201906,76000,202003,63954
261,서울특별시 송파구 송파동,201906,129000,202003,63487
262,서울특별시 송파구 거여동,201906,42500,202004,63430
263,서울특별시 송파구 잠실동,201906,230000,202004,63000
264,서울특별시 송파구 잠실동,201906,160000,202004,64113
265,서울특별시 송파구 잠실동,201906,175000,202004,64525
266,서울특별시 송파구 잠실동,201906,148000,202004,64530
267,서울특별시 송파구 잠실동,201906,180000,202004,64456
268,서울특별시 송파구 가락동,201906,76000,202004,64888
269,서울특별시 송파구 가락동,201906,89700,202004,65163
270,서울특별시 송파구 문정동,201906,87600,202004,65653
271,서울특별시 송파구 장지동,201906,105000,202004,65726
272,서울특별시 송파구 가락동,201906,79000,202004,66310
273,서울특별시 송파구 문정동,201906,108500,202004,67415
274,서울특별시 송파구 가락동,201906,72800,202004,67223
275,서울특별시 송파구 방이동,201906,150000,202004,68052
276,서울특별시 송파구 문정동,201906,160000,202004,66486
277,서울특별시 송파구 신천동,201906,155000,202004,66062
278,서울특별시 송파구 방이동,201906,161000,202004,65898
279,서울특별시 송파구 신천동,201906,157000,202004,67302
280,서울특별시 송파구 신천동,201906,164000,202004,67259
281,서울특별시 송파구 잠실동,201906,177000,202004,68056
282,서울특별시 송파구 송파동,201906,102500,202004,68737
283,서울특별시 송파구 잠실동,201906,160000,202004,68593
284,서울특별시 송파구 잠실동,201906,142000,202004,68011
285,서울특별시 송파구 문정동,201906,127000,202004,67075
286,서울특별시 송파구 방이동,201906,192000,202004,66853
287,서울특별시 송파구 잠실동,201906,175000,202004,66770
288,서울특별시 송파구 잠실동,201906,161500,202005,65886
289,서울특별시 송파구 오금동,201906,140000,202005,66605
290,서울특별시 송파구 신천동,201906,141000,202005,67253
291,서울특별시 송파구 잠실동,201906,160000,202005,66843
292,서울특별시 송파구 장지동,201906,72500,202005,67270
293,서울특별시 송파구 방이동,201906,65500,202005,66647
294,서울특별시 송파구 잠실동,201906,337000,202005,67637
295,서울특별시 송파구 잠실동,201906,175000,202005,66943
296,서울특별시 송파구 풍납동,201906,48500,202005,67051
297,서울특별시 송파구 잠실동,201906,160000,202005,67281
298,서울특별시 송파구 신천동,201906,140000,202005,67180
299,서울특별시 송파구 신천동,201906,178500,202005,67858
300,서울특별시 송파구 잠실동,201906,155000,202005,68882
301,서울특별시 송파구 가락동,201906,100000,202005,69298
302,서울특별시 송파구 문정동,201906,49000,202005,69989
303,서울특별시 송파구 문정동,201906,153500,202005,68351
304,서울특별시 송파구 가락동,201906,77500,202005,69433
305,서울특별시 송파구 가락동,201906,77500,202005,68690
306,서울특별시 송파구 장지동,201906,87000,202005,69304
307,서울특별시 송파구 거여동,201906,77000,202005,69416
308,서울특별시 송파구 잠실동,201906,76000,202005,69161
309,서울특별시 송파구 잠실동,201906,75000,202005,68778
310,서울특별시 송파구 잠실동,201906,192060,202005,68007
311,서울특별시 송파구 가락동,201906,85250,202005,68665
312,서울특별시 송파구 가락동,201906,86000,202005,68523
313,서울특별시 송파구 가락동,201906,76000,202005,68603
314,서울특별시 송파구 송파동,201906,109000,202006,68442
315,서울특별시 송파구 신천동,201906,188000,202006,68521
316,서울특별시 송파구 오금동,201906,64000,202006,67482
317,서울특별시 송파구 신천동,201906,143000,202006,66819
318,서울특별시 송파구 신천동,201906,149000,202006,66476
319,서울특별시 송파구 방이동,201906,76800,202006,65265
320,서울특별시 송파구 잠실동,201906,161000,202006,65775
321,서울특별시 송파구 거여동,201906,54900,202006,65772
322,서울특별시 송파구 거여동,201906,56500,202006,65791
323,서울특별시 송파구 신천동,201906,149000,202006,66901
324,서울특별시 송파구 송파동,201906,73000,202006,67178
325,서울특별시 송파구 문정동,201906,165000,202006,67115
326,서울특별시 송파구 신천동,201906,119500,202006,67364
327,서울특별시 송파구 신천동,201906,135000,202006,67570
328,서울특별시 송파구 잠실동,201906,144500,202006,67437
329,서울특별시 송파구 잠실동,201906,155000,202006,67318
330,서울특별시 송파구 문정동,201906,143000,202006,67381
331,서울특별시 송파구 신천동,201906,150000,202006,68065
332,서울특별시 송파구 신천동,201906,134000,202006,68289
333,서울특별시 송파구 신천동,201906,181000,202006,68246
334,서울특별시 송파구 석촌동,201906,95000,202006,68512
335,서울특별시 송파구 방이동,201906,224500,202006,68621
336,서울특별시 송파구 송파동,201906,58000,202006,68106
337,서울특별시 송파구 문정동,201906,88000,202006,68693
338,서울특별시 송파구 풍납동,201906,69000,202006,68442
339,서울특별시 송파구 신천동,201906,187000,202006,68647
340,서울특별시 송파구 신천동,201906,153000,202007,69275
341,서울특별시 송파구 풍납동,201906,85000,202007,68356
342,서울특별시 송파구 잠실동,201906,193500,202007,68553
343,서울특별시 송파구 방이동,201906,166500,202007,68574
344,서울특별시 송파구 오금동,201906,92000,202007,68291
345,서울특별시 송파구 장지동,201906,85000,202007,68593
346,서울특별시 송파구 방이동,201906,190500,202007,69181
347,서울특별시 송파구 오금동,201906,62000,202007,69770
348,서울특별시 송파구 잠실동,201906,169000,202007,69718
349,서울특별시 송파구 신천동,201906,159000,202007,69559
350,서울특별시 송파구 신천동,201906,190000,202007,69879
351,서울특별시 송파구 문정동,201906,160800,202007,69997
352,서울특별시 송파구 방이동,201906,111000,202007,70107
353,서울특별시 송파구 잠실동,201906,290000,202007,70047
354,서울특별시 송파구 풍납동,201906,80000,202007,69855
355,서울특별시 송파구 잠실동,201906,168000,202007,70211
356,서울특별시 송파구 가락동,201906,85000,202007,70158
357,서울특별시 송파구 가락동,201906,95000,202007,70256
